# DipoleMomentWriter[version=1](center=False, density='comp')
#            time            norm                    dmx                    dmy                    dmz
# Start; Time = 0.00000000
         53.74378535      -7.10542736e-14    -9.158694030759e-03    -1.643268368201e-02    -8.275768840349e-05
         54.57061281       1.59872116e-14    -8.534190474336e-03    -1.531218884088e-02    -7.711472261462e-05
         55.39744028      -5.86197757e-14    -7.749496544250e-03    -1.390427772748e-02    -7.002427918223e-05
         56.22426775       7.99360578e-14    -6.804116319131e-03    -1.220806054044e-02    -6.148188384714e-05
         57.05109521      -6.39488462e-14    -5.700195076486e-03    -1.022738639028e-02    -5.150689702305e-05
         57.87792268       1.77635684e-14    -4.442626895639e-03    -7.971036299068e-03    -4.014356653670e-05
         58.70475015      -7.28306304e-14    -3.038832648826e-03    -5.452324930161e-03    -2.745893607425e-05
         59.53157762      -1.01252340e-13    -1.498751502993e-03    -2.689085299210e-03    -1.354282994726e-05
         60.35840508      -1.11910481e-13     1.649902217764e-04     2.960282303661e-04     1.490661190928e-06
         61.18523255       4.61852778e-14     1.937174708132e-03     3.475711599208e-03     1.750402492462e-05
         62.01206002      -1.97175609e-13     3.800312203509e-03     6.818584387133e-03     3.433924649698e-05
         62.83888748      -6.92779167e-14     5.734800972334e-03     1.028947684802e-02     5.181918572816e-05
         63.66571495       3.55271368e-15     7.718899473161e-03     1.384937992515e-02     6.974740801979e-05
         64.49254242       1.97175609e-13     9.728784433662e-03     1.745554950514e-02     8.790863864760e-05
         65.31936988       2.27373675e-13     1.173878605908e-02     2.106192840694e-02     1.060709397507e-04
         66.14619735      -4.44089210e-14     1.372168210514e-02     2.461967401098e-02     1.239883341100e-04
         66.97302482      -1.10134124e-13     1.564902139864e-02     2.807773875890e-02     1.414037113818e-04
         67.79985228       8.70414851e-14     1.749156235053e-02     3.138365689767e-02     1.580528401632e-04
         68.62667975       1.49213975e-13     1.921979074683e-02     3.448447351030e-02     1.736690514349e-04
         69.45350722      -3.53495011e-13     2.080435454610e-02     3.732752465515e-02     1.879871430788e-04
         70.28033469       2.18491891e-13     2.221641760980e-02     3.986107209818e-02     2.007464863141e-04
         71.10716215       9.23705556e-14     2.342812156218e-02     4.203513181437e-02     2.116954216831e-04
         71.93398962      -1.06581410e-13     2.441315493206e-02     4.380249533733e-02     2.205961748132e-04
         72.76081709       8.17124146e-14     2.514718405479e-02     4.511950281022e-02     2.272288532481e-04
         73.58764455      -1.66977543e-13     2.560811037597e-02     4.594650460587e-02     2.313938081215e-04
         74.41447202       1.15463195e-13     2.577644022045e-02     4.624852486626e-02     2.329148489935e-04
         75.24129949      -3.55271368e-14     2.563586484507e-02     4.599630214301e-02     2.316446472719e-04
         76.06812695       6.75015599e-14     2.517377121416e-02     4.516720594137e-02     2.274692079141e-04
         76.89495442       1.75859327e-13     2.438150901537e-02     4.374571571287e-02     2.203103783245e-04
         77.72178189      -1.59872116e-14     2.325457855045e-02     4.172375801295e-02     2.101275118775e-04
         78.54860935       1.42108547e-14     2.179287480300e-02     3.910114444039e-02     1.969196405298e-04
         79.37543682       9.94759830e-14     2.000089826635e-02     3.588594985416e-02     1.807274360885e-04
         80.20226429       2.71782596e-13     1.788786116737e-02     3.209470298492e-02     1.616341366457e-04
         81.02909175       1.81188398e-13     1.546772316436e-02     2.775245047707e-02     1.397658911060e-04
         81.85591922      -4.61852778e-14     1.275916433190e-02     2.289270843886e-02     1.152914918521e-04
         82.68274669      -7.63833441e-14     9.785502930526e-03     1.755731490482e-02     8.842162714018e-05
         83.50957416       1.68753900e-13     6.574571033866e-03     1.179620664669e-02     5.940778345348e-05
         84.33640162       2.66453526e-14     3.158452568925e-03     5.666949164038e-03     2.853989468576e-05
         85.16322909      -8.52651283e-14    -4.269624592439e-04    -7.660630683404e-04    -3.857756439629e-06
         85.99005656      -9.59232693e-14    -4.142412541682e-03    -7.432386388189e-03    -3.743040838344e-05
         86.81688402      -1.58095759e-13    -7.945572735252e-03    -1.425608067802e-02    -7.179560782333e-05
         87.64371149      -6.03961325e-14    -1.179144471553e-02    -2.115640918345e-02    -1.065467610601e-04
         88.47053896      -1.63424829e-13    -1.563294216805e-02    -2.804888885237e-02    -1.412583798128e-04
         89.29736642      -2.48689958e-14    -1.942148126022e-02    -3.484634973853e-02    -1.754914800358e-04
         90.12419389      -3.14415161e-13    -2.310755852847e-02    -4.145997191165e-02    -2.087987159598e-04
         90.95102136      -1.11910481e-13    -2.664155671516e-02    -4.780073122663e-02    -2.407317855955e-04
         91.77784882      -6.21724894e-14    -2.997471197608e-02    -5.378113478224e-02    -2.708500352355e-04
         92.60467629      -1.61648472e-13    -3.305986260312e-02    -5.931656423797e-02    -2.987273222743e-04
         93.43150376      -1.49213975e-13    -3.585192212262e-02    -6.432612467097e-02    -3.239562579438e-04
         94.25833122      -3.90798505e-14    -3.830841586654e-02    -6.873360732112e-02    -3.461530453706e-04
         95.08515869      -5.32907052e-14    -4.039023189534e-02    -7.246883688356e-02    -3.649642607115e-04
         95.91198616      -8.17124146e-14    -4.206234424890e-02    -7.546896917455e-02    -3.800734147603e-04
         96.73881363       1.31450406e-13    -4.329429354829e-02    -7.767935345930e-02    -3.912052922601e-04
         97.56564109       1.40332190e-13    -4.406054945076e-02    -7.905418278284e-02    -3.981291768014e-04
         98.39246856       3.55271368e-15    -4.434096911501e-02    -7.955731650969e-02    -4.006630589970e-04
         99.21929603      -1.90070182e-13    -4.412127974689e-02    -7.916314614198e-02    -3.986779739762e-04
        100.04612349      -1.15463195e-13    -4.339337422147e-02    -7.785712574088e-02    -3.921006772316e-04
        100.87295096       1.08357767e-13    -4.215546470795e-02    -7.563604755785e-02    -3.809150113057e-04
        101.69977843       1.01252340e-13    -4.041226152594e-02    -7.250836295140e-02    -3.651635227016e-04
        102.52660589      -2.84217094e-14    -3.817508488038e-02    -6.849438282609e-02    -3.449485033116e-04
        103.35343336       1.36779477e-13    -3.546175319553e-02    -6.362607728994e-02    -3.204309789453e-04
        104.18026083       7.46069873e-14    -3.229638023822e-02    -5.794671169241e-02    -2.918288184333e-04
        105.00708829       1.77635684e-15    -2.870921994895e-02    -5.151056815788e-02    -2.594154042868e-04
        105.83391576       2.84217094e-13    -2.473639702725e-02    -4.438246222367e-02    -2.235171703546e-04
        106.66074323       1.29674049e-13    -2.041941205573e-02    -3.663685495798e-02    -1.845090900474e-04
        107.48757069      -1.10134124e-13    -1.580459878454e-02    -2.835687914455e-02    -1.428098439646e-04
        108.31439816       1.77635684e-14    -1.094259749283e-02    -1.963339440528e-02    -9.887703293998e-05
        109.14122563       2.09610107e-13    -5.887648340376e-03    -1.056371936136e-02    -5.320075354120e-05
        109.96805310      -7.28306304e-14    -6.967216737621e-04    -1.250071168329e-03    -6.295768628206e-06
        110.79488056       1.35003120e-13     4.571199271027e-03     8.201721506737e-03     4.130491964816e-05
        111.62170803       1.08357767e-13     9.855633443522e-03     1.768314252706e-02     8.905483792887e-05
        112.44853550      -3.90798505e-14     1.509523260546e-02     2.708411985014e-02     1.363996412920e-04
        113.27536296       9.05941988e-14     2.022862460706e-02     3.629453854813e-02     1.827847582376e-04
        114.10219043      -2.16715534e-13     2.519522127449e-02     4.520569028318e-02     2.276627391211e-04
        114.92901790      -2.50466314e-13     2.993593464060e-02     5.371155844432e-02     2.704996395551e-04
        115.75584536       2.13162821e-14     3.439399530453e-02     6.171028640426e-02     3.107824879862e-04
        116.58267283      -3.55271368e-15     3.851583252504e-02     6.910575660726e-02     3.480272460479e-04
        117.40950030       2.39808173e-13     4.225179078077e-02     7.580887628842e-02     3.817852107204e-04
        118.23632776       1.40332190e-13     4.555669766819e-02     8.173859632541e-02     4.116482258496e-04
        119.06315523       2.48689958e-14     4.839040743354e-02     8.682288652057e-02     4.372535265702e-04
        119.88998270       1.84741111e-13     5.071826766510e-02     9.099957292824e-02     4.582879838608e-04
        120.71681017       2.48689958e-14     5.251149258345e-02     9.421700758611e-02     4.744915116248e-04
        121.54363763      -7.10542736e-15     5.374754738352e-02     9.643475818064e-02     4.856604728616e-04
        122.37046510       3.37507799e-14     5.441046313274e-02     9.762417297492e-02     4.916505703818e-04
        123.19729257      -4.97379915e-14     5.449092856719e-02     9.776854554337e-02     4.923776751866e-04
